rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
243,C - keep on longlist,Н. Н. Дергунова,Possible faculty/senior researcher,Severtsov Institute of Ecology and Evolution,RU,Non-US,no,Possible (manual verification needed),Selective but variable,4,2023,species_distribution,9,45,258,NeoBiota; Mathematics; Biology; Biology Bulletin,The TOP-100 most dangerous invasive alien species in Northern Eurasia: invasion trends and species distribution modelling,"Species Distribution Models and Niche Partitioning among Unisexual Darevskia dahli and Its Parental Bisexual (D. portschinskii, D. mixta) Rock Lizards in the Caucasus",Range Dynamics of Striped Field Mouse (Apodemus agrarius) in Northern Eurasia under Global Climate Change Based on Ensemble Species Distribution Models,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7935-114X,https://openalex.org/A5068789874,2026-04-10
244,C - keep on longlist,Thilo Wellmann,Possible faculty/senior researcher,Humboldt-Universität zu Berlin,DE,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2022,remote_sensing; species_distribution,15,36,1152,Remote Sensing; Ecological Indicators,Earth observation based indication for avian species distribution models using the spectral trait concept and machine learning in an urban setting,"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces","Remote Sensing of Geomorphodiversity Linked to Biodiversity—Part III: Traits, Processes and Remote Sensing Characteristics","Recurring publication signal (3 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6852-5095,https://openalex.org/A5013479354,2026-04-10
245,C - keep on longlist,Yan Wang,Likely faculty/senior PI,Dalian University of Technology,CN,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2022,joint_models,21,188,1910,Journal of the Royal Statistical Society Series C (Applied Statistics); Methods in Ecology and Evolution; bioRxiv (Cold Spring Harbor Laboratory); arXiv (Cornell University),The Saturated Pairwise Interaction Gibbs Point Process as a Joint Species Distribution Model,Effectiveness of joint species distribution models in the presence of imperfect detection,The saturated pairwise interaction Gibbs point process as a joint species distribution model,Recurring publication signal (4 matched works) in joint_models; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1635-5554,https://openalex.org/A5015841682,2026-04-10
246,C - keep on longlist,F. A. Osipov,Career stage unclear (manual check needed),Severtsov Institute of Ecology and Evolution,RU,Non-US,no,Possible (manual verification needed),Selective but variable,4,2023,species_distribution,8,39,233,NeoBiota; Mathematics; Biology; Biology Bulletin,The TOP-100 most dangerous invasive alien species in Northern Eurasia: invasion trends and species distribution modelling,"Species Distribution Models and Niche Partitioning among Unisexual Darevskia dahli and Its Parental Bisexual (D. portschinskii, D. mixta) Rock Lizards in the Caucasus",Range Dynamics of Striped Field Mouse (Apodemus agrarius) in Northern Eurasia under Global Climate Change Based on Ensemble Species Distribution Models,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0904-1752,https://openalex.org/A5028530057,2026-04-10
247,C - keep on longlist,Dexter W. Howard,Career stage unclear (manual check needed),Virginia Tech,US,US,no,Strong (university advisor pipeline),Selective but variable,3,2021,forecasting,7,28,270,Inland Waters; Ecological Applications,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6118-2149,https://openalex.org/A5074980910,2026-04-10
248,C - keep on longlist,Sabine Horn,Possible faculty/senior researcher,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,DE,Non-US,no,Possible (manual verification needed),Selective but variable,5,2024,food_webs,13,48,379,Restoration Ecology; Frontiers in Marine Science; The Science of The Total Environment; Helmholtz-Zentrum für Polar-und Meeresforschung (Alfred-Wegener-Institut),Food web models reveal potential ecosystem effects of seagrass recovery in the northern Wadden Sea,Toward Improved Model Capacities for Assessment of Climate Impacts on Coastal Bentho-Pelagic Food Webs and Ecosystem Services,Global change alters coastal plankton food webs by promoting the microbial loop: An inverse modelling and network analysis approach on a mesocosm experiment,Recurring publication signal (5 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1637-1191,https://openalex.org/A5037052023,2026-04-10
249,C - keep on longlist,Zhenghua Liu,Likely faculty/senior PI,Central South University,CN,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2022,species_distribution; ecological_networks,28,131,3022,The Science of The Total Environment; Forest Ecology and Management; Biology,Mapping the potential of mangrove forest restoration based on species distribution models: A case study in China,Predicting potential mangrove distributions at the global northern distribution margin using an ecological niche model: Determining conservation and reforestation involvement,The Self-Organization of Marine Microbial Networks under Evolutionary and Ecological Processes: Observations and Modeling,"Recurring publication signal (3 matched works) in species_distribution, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9857-2941,https://openalex.org/A5101965154,2026-04-10
250,C - keep on longlist,Mirko Di Febbraro,Likely faculty/senior PI,University of Molise,IT,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2024,species_distribution; remote_sensing,34,133,3549,Methods in Ecology and Evolution; Biological Conservation; Remote Sensing,<scp> <i>ENphylo</i> </scp> : A new method to model the distribution of extremely rare species,Too much of a good thing? Supplementing current species observations with fossil data to assess climate change vulnerability via ecological niche models,Measuring Alpha and Beta Diversity by Field and Remote-Sensing Data: A Challenge for Coastal Dunes Biodiversity Monitoring,"Recurring publication signal (3 matched works) in species_distribution, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8898-7046,https://openalex.org/A5073305124,2026-04-10
251,C - keep on longlist,Rachel S. Corrigan,Career stage unclear (manual check needed),Colorado School of Mines,US,US,no,Strong (university advisor pipeline),Selective but variable,3,2021,forecasting,3,9,144,Inland Waters; Ecological Applications,"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting",Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Increased adoption of best practices in ecological forecasting enables comparisons of forecastability,Recurring publication signal (3 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6101-8085,https://openalex.org/A5005322578,2026-04-10
252,C - keep on longlist,Renzhi Liu,Likely faculty/senior PI,Beijing Normal University,CN,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2023,bayesian_models; ecological_networks; ecosystem_modeling,16,47,988,Journal of Environmental Management; SSRN Electronic Journal; Journal of Cleaner Production,A Bayesian network-GIS probabilistic model for addressing human disturbance risk to ecological conservation redline areas,A Bayesian Network-Gis Probabilistic Model for Addressing Human Disturbance Risk to Ecological Conservation Redline Areas,Multi-objective land use optimization based on integrated NSGA–II–PLUS model: Comprehensive consideration of economic development and ecosystem services value enhancement,"Recurring publication signal (3 matched works) in bayesian_models, ecological_networks, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in bayesian models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6331-9567,https://openalex.org/A5021823924,2026-04-10
253,C - keep on longlist,Temilola Fatoyinbo,Likely faculty/senior PI,Massachusetts Institute of Technology,US,US,no,Strong (university advisor pipeline),Moderate,3,2022,ecosystem_modeling; remote_sensing,42,228,9847,Nature Ecology & Evolution; Remote Sensing of Environment; Remote Sensing,Integrating remote sensing with ecology and evolution to advance biodiversity conservation,Aboveground biomass density models for NASA’s Global Ecosystem Dynamics Investigation (GEDI) lidar mission,Mapping the Extent of Mangrove Ecosystem Degradation by Integrating an Ecological Conceptual Model with Satellite Data,"Recurring publication signal (3 matched works) in ecosystem_modeling, remote_sensing; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-1130-6748,https://openalex.org/A5000005785,2026-04-10
254,C - keep on longlist,Thomas Sattler,Likely faculty/senior PI,Swiss Ornithological Institute,CH,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,joint_models; species_distribution,24,72,3543,Journal of Biogeography; Ecology,Joint species distribution models with species correlations and imperfect detection,Testing species assemblage predictions from stacked and joint species distribution models,Scale dependency of joint species distribution models challenges interpretation of biotic interactions,"Recurring publication signal (3 matched works) in joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in joint models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-5359-6387,https://openalex.org/A5070648113,2026-04-10
255,C - keep on longlist,Maximilian Pichler,Likely faculty/senior PI,University of Regensburg,DE,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2024,remote_sensing; joint_models; species_distribution,16,138,1644,Methods in Ecology and Evolution; Philosophical Transactions of the Royal Society B Biological Sciences; bioRxiv (Cold Spring Harbor Laboratory),A new joint species distribution model for faster and more accurate inference of species associations from big community data,"Combining environmental DNA and remote sensing for efficient, fine-scale mapping of arthropod biodiversity","Combining environmental DNA and remote sensing for efficient, fine-scale mapping of arthropod biodiversity","Recurring publication signal (3 matched works) in remote_sensing, joint_models, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-2252-8327,https://openalex.org/A5043551381,2026-04-10
256,C - keep on longlist,Mirco Migliavacca,Likely faculty/senior PI,European Commission,BE,Non-US,no,Possible (manual verification needed),Moderate,4,2024,remote_sensing; ecosystem_modeling,78,540,23261,Environmental Research Ecology; Remote Sensing; Global Change Biology,Satellite remote sensing reveals the footprint of biodiversity on multiple ecosystem functions across the NEON eddy covariance network,Seasonal Adaptation of the Thermal-Based Two-Source Energy Balance Model for Estimating Evapotranspiration in a Semiarid Tree-Grass Ecosystem,A remote sensing‐based three‐source energy balance model to improve global estimations of evapotranspiration in semi‐arid tree‐grass ecosystems,"Recurring publication signal (4 matched works) in remote_sensing, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3546-8407,https://openalex.org/A5081683556,2026-04-10
257,C - keep on longlist,Josep M. Serra‐Diaz,Likely faculty/senior PI,University of Connecticut,US,US,yes,Strong (university advisor pipeline),Selective but variable,3,2022,species_distribution,33,113,5186,Ecography; Global Change Biology; bioRxiv (Cold Spring Harbor Laboratory),A standard protocol for reporting species distribution models,Linking ecological niche models and common garden experiments to predict phenotypic differentiation in stressful environments: Assessing the adaptive value of marginal populations in an alpine plant,Ecological niche models as hypothesis generators of functional genetic differentiation and potential local adaptation in a Mediterranean alpine ecosystem,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1988-1154,https://openalex.org/A5063735907,2026-04-10
258,C - keep on longlist,Sarita Keski‐Saari,Likely faculty/senior PI,University of Eastern Finland,FI,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2025,remote_sensing; forecasting,25,58,1505,SSRN Electronic Journal; Forest Policy and Economics; Forest Ecology and Management,Remote sensing in mapping biodiversity – A case study of epiphytic lichen communities,Remote Sensing in Mapping Biodiversity – a Case Study of Epiphytic Lichen Communities,Integrating economic and ecological drivers in forest product yield forecasting: A Finnish case study,"Recurring publication signal (4 matched works) in remote_sensing, forecasting; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1967-7428,https://openalex.org/A5060777831,2026-04-10
259,C - keep on longlist,Hayden Gallo,Career stage unclear (manual check needed),University of Notre Dame,US,US,no,Strong (university advisor pipeline),Selective but variable,4,2023,forecasting,1,5,10,Zenodo (CERN European Organization for Nuclear Research); Ecology and Evolution; Figshare,Assessing opportunities and inequities in undergraduate ecological forecasting education,Ecological Forecasting Course Lessons,Assessing opportunities and inequities in undergraduate ecological forecasting education,Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0009-0004-8247-7896,https://openalex.org/A5058090839,2026-04-10
260,C - keep on longlist,Dagmar Haase,Likely faculty/senior PI,Helmholtz Centre for Environmental Research,DE,Non-US,no,Possible (manual verification needed),Moderate,3,2020,remote_sensing; species_distribution,101,547,36529,Remote Sensing; Ecological Indicators,Earth observation based indication for avian species distribution models using the spectral trait concept and machine learning in an urban setting,"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces",Linking Remote Sensing and Geodiversity and Their Traits Relevant to Biodiversity—Part I: Soil Characteristics,"Recurring publication signal (3 matched works) in remote_sensing, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-4065-5194,https://openalex.org/A5025663121,2026-04-10
261,C - keep on longlist,Frank A. P. C. Gobas,Likely faculty/senior PI,Simon Fraser University,CA,Non-US,no,Strong (university advisor pipeline),Moderate,3,2024,food_webs,60,202,14906,Environmental Science Processes & Impacts; Environmental Science & Technology; Environmental Toxicology and Chemistry,Development and Evaluation of Aquatic and Terrestrial Food Web Bioaccumulation Models for Per- and Polyfluoroalkyl Substances,A food web bioaccumulation model for the accumulation of per- and polyfluoroalkyl substances (PFAS) in fish: how important is renal elimination?,Deconvoluting Thermodynamics from Biology in the Aquatic Food Web Model,Recurring publication signal (3 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-7829-8260,https://openalex.org/A5059504272,2026-04-10
262,C - keep on longlist,Tommi Perälä,Likely faculty/senior PI,University of Jyväskylä,FI,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2024,food_webs; ecological_networks,14,46,1065,Evolutionary Applications; Ecological Modelling; SSRN Electronic Journal; Marine Ecology Progress Series,Eco‐evolutionary dynamics driven by fishing: From single species models to dynamic evolution within complex food webs,Non-trophic interactions amplify kelp harvest-induced biomass oscillations and biomass changes in a kelp forest ecological network model,Effects of top predator re-establishment and fishing on a simulated food web: Allometric Trophic Network model for Lake Oulujärvi,"Recurring publication signal (4 matched works) in food_webs, ecological_networks; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4995-5997,https://openalex.org/A5063433062,2026-04-10
263,C - keep on longlist,Christiane Schmullius,Likely faculty/senior PI,Stellenbosch University,ZA,Non-US,no,Strong (university advisor pipeline),Moderate,3,2022,remote_sensing,43,339,6807,Remote Sensing,"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces",Linking Remote Sensing and Geodiversity and Their Traits Relevant to Biodiversity—Part I: Soil Characteristics,"Remote Sensing of Geomorphodiversity Linked to Biodiversity—Part III: Traits, Processes and Remote Sensing Characteristics",Recurring publication signal (3 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-6182-1249,https://openalex.org/A5011051705,2026-04-10
264,C - keep on longlist,Purabi Saikia,Likely faculty/senior PI,Banaras Hindu University,IN,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2023,species_distribution,26,148,3029,Ecological Informatics; Ecological Research; Tropical Ecology,"Understanding the invasion potential of Chromolaena odorata and Lantana camara in the Western Ghats, India: An ecological niche modelling approach under current and future climatic scenarios",Distribution mapping of Bauhinia vahlii Wight &amp; Arn. in India using ecological niche modelling,"Ecological niche modeling for assessing potential distribution of <scp> <i>Pterocarpus marsupium</i> </scp> Roxb. In Ranchi, eastern India",Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-5481-282X,https://openalex.org/A5058614545,2026-04-10
265,C - keep on longlist,Andrew Constable,Likely faculty/senior PI,University of Tasmania,AU,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2021,food_webs,34,129,4824,Deep Sea Research Part II Topical Studies in Oceanography; Frontiers in Ecology and Evolution; Reviews in Fish Biology and Fisheries,"Alternative energy pathways in Southern Ocean food webs: Insights from a balanced model of Prydz Bay, Antarctica","Southern Ocean Food Web Modelling: Progress, Prognoses, and Future Priorities for Research and Policy Makers",Using stable isotope data to advance marine food web modelling,Recurring publication signal (3 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4841-2296,https://openalex.org/A5013373812,2026-04-10
266,C - keep on longlist,Eugenia Minghetti,Career stage unclear (manual check needed),Centro Científico Tecnológico - La Plata,AR,Non-US,no,Possible (manual verification needed),Selective but variable,4,2024,species_distribution,4,31,93,Pest Management Science; Bulletin of Entomological Research; Biological Control,"Ecological niche modelling of <i>Gargaphia decoris</i> (Heteroptera), a biological control agent of the invasive tree <i>Solanum mauritianum</i> (Solanales: Solanaceae)",Ecological niche modeling (ENM) of<i>Leptoglossus clypealis</i>a new potential global invader: following in the footsteps of<i>Leptoglossus occidentalis</i>?,"Evaluating the climatic suitability of Engytatus passionarius Minghetti et al. (Heteroptera, Miridae) as a biological control agent of the invasive stinking passion flower Passiflora foetida L. in Australia through ecological niche models",Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9867-8121,https://openalex.org/A5061453412,2026-04-10
267,C - keep on longlist,R. H. Pshegusov,Career stage unclear (manual check needed),,,Non-US,unknown,Possible (manual verification needed),Selective but variable,4,2022,species_distribution,6,42,127,Russian Journal of Biological Invasions; Forest Ecosystems; Geocarto International,Ecological niche modeling of the main forest-forming species in the Caucasus,Ecological Niche Modeling of Galinsoga Ruiz et Pav. Species in the Native and Caucasian Part of the Invasive Ranges,Identification of degradation factors in mountain semiarid rangelands using spatial distribution modelling and ecological niche theory,Recurring publication signal (4 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6204-2690,https://openalex.org/A5043031178,2026-04-10
268,C - keep on longlist,Elisa Van Cleemput,Possible faculty/senior researcher,The Hague University of Applied Sciences,NL,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2025,remote_sensing,12,27,2392,Global Ecology and Biogeography; Remote Sensing Applications Society and Environment; SSRN Electronic Journal,Making remote sense of biodiversity: What grassland characteristics make spectral diversity a good proxy for taxonomic diversity?,Biodiversity monitoring in urban community gardens using proximal sensing and drone remote sensing,Making remote sense of biodiversity in herbaceous ecosystems: Biological characteristics moderate the strength of the relationship between taxonomic and spectral diversity,Recurring publication signal (4 matched works) in remote_sensing; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5305-9749,https://openalex.org/A5069497636,2026-04-10
269,C - keep on longlist,Sandra Eckert,Likely faculty/senior PI,University of Bern,CH,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2020,remote_sensing; species_distribution; ecosystem_modeling,26,98,3016,Remote Sensing of Environment; Scientific Reports,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,Modelling the current fractional cover of an invasive alien plant and drivers of its invasion in a dryland ecosystem,Monitoring biodiversity in the Anthropocene using remote sensing data products in species distribution models,"Recurring publication signal (3 matched works) in remote_sensing, species_distribution, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in remote sensing and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9579-5680,https://openalex.org/A5084487394,2026-04-10
270,C - keep on longlist,William J. Castillo,Career stage unclear (manual check needed),"University of Nevada, Las Vegas",US,US,no,Strong (university advisor pipeline),Selective but variable,4,2025,forecasting,7,22,227,Methods in Ecology and Evolution; arXiv (Cornell University),"The ecological forecast limit revisited: Potential, absolute and relative system predictability","Author response for ""The ecological forecast limit revisited: Potential, absolute and relative system predictability""","Author response for ""The ecological forecast limit revisited: Potential, absolute and relative system predictability""",Recurring publication signal (4 matched works) in forecasting; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8059-7470,https://openalex.org/A5108556931,2026-04-10
271,C - keep on longlist,Clive Fox,Likely faculty/senior PI,University of the Highlands and Islands,GB,Non-US,no,Strong (university advisor pipeline),Selective but variable,4,2021,food_webs,29,99,2541,ICES Journal of Marine Science; Journal of Marine Systems,Fishers’ knowledge improves the accuracy of food web model predictions,"The importance of alien species to the food web and bottom trawl fisheries of the Northeastern Mediterranean, a modelling approach",Modelling the food web in the Irish Sea in the context of a depleted commercial fish community. Part 2: ICES Ecopath with Ecosim Key Run,Recurring publication signal (4 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-8449-0996,https://openalex.org/A5072085591,2026-04-10
272,C - keep on longlist,Amit Kumar,Likely faculty/senior PI,M.J.P. Rohilkhand University,IN,Non-US,no,Strong (university advisor pipeline),Selective but variable,3,2023,species_distribution,32,186,3618,Ecological Informatics; Ecological Research; Tropical Ecology,"Ecological niche modeling for assessing potential distribution of <scp> <i>Pterocarpus marsupium</i> </scp> Roxb. In Ranchi, eastern India","Understanding the invasion potential of Chromolaena odorata and Lantana camara in the Western Ghats, India: An ecological niche modelling approach under current and future climatic scenarios",Distribution mapping of Bauhinia vahlii Wight &amp; Arn. in India using ecological niche modelling,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4582-5677,https://openalex.org/A5086897047,2026-04-10
273,C - keep on longlist,Jérémy Lobry,Likely faculty/senior PI,CEA CESTA,FR,Non-US,no,Possible (manual verification needed),Selective but variable,5,2024,food_webs,29,149,2498,Frontiers in Marine Science; Frontiers in Ecology and Evolution; Methods in Ecology and Evolution,"<scp>ESCROpath</scp> , a Bayesian mixing model to quantify diets and trophic flows in aquatic food webs","Modeling the impact of floating offshore wind turbines on marine food webs in the Gulf of Lion, France",Linking individual experiments and multiscale models to simulate physiological perturbations on aquatic food webs,Recurring publication signal (5 matched works) in food_webs; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4567-3714,https://openalex.org/A5021108434,2026-04-10
274,C - keep on longlist,Gavin L. Simpson,Likely faculty/senior PI,Aarhus University,DK,Non-US,no,Strong (university advisor pipeline),Moderate,3,2022,forecasting; hierarchical_models,46,172,29968,PeerJ,Hierarchical generalized additive models in ecology: an introduction with mgcv,"Review for ""Dynamic generalised additive models ( &lt;scp&gt;DGAMs&lt;/scp&gt; ) for forecasting discrete ecological time series""","Review for ""The power of forecasts to advance ecological theory""","Recurring publication signal (3 matched works) in forecasting, hierarchical_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in forecasting and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9084-8413,https://openalex.org/A5002033854,2026-04-10
275,C - keep on longlist,Florian Härtig,Possible faculty/senior researcher,University of Regensburg,DE,Non-US,no,Strong (university advisor pipeline),Moderate,2,2021,species_distribution; joint_models,57,245,16995,Ecography; Methods in Ecology and Evolution,Explainable artificial intelligence enhances the ecological interpretability of black‐box species distribution models,A new joint species distribution model for faster and more accurate inference of species associations from big community data,,"Recurring publication signal (2 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-6255-9059,https://openalex.org/A5002648105,2026-04-10
276,C - keep on longlist,Adrián Regos,Likely faculty/senior PI,Consejo Superior de Investigaciones Científicas,ES,Non-US,no,Possible (manual verification needed),Selective but variable,3,2022,species_distribution; ecosystem_modeling,26,108,2695,Journal of Biogeography; Scientific Reports; Remote Sensing in Ecology and Conservation,Effects of species traits and environmental predictors on performance and transferability of ecological niche models,Mainstreaming remotely sensed ecosystem functioning in ecological niche models,Effects of input data sources on species distribution model predictions across species with different distributional ranges,"Recurring publication signal (3 matched works) in species_distribution, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-1983-936X,https://openalex.org/A5075738285,2026-04-10
277,C - keep on longlist,Kevin M. King,Likely faculty/senior PI,University of Washington,US,US,yes,Strong (university advisor pipeline),Moderate,3,2024,bayesian_models,47,242,9103,Advances in Methods and Practices in Psychological Science,A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models,"Author response for ""A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models""","Author response for ""A Tutorial on Analyzing Ecological Momentary Assessment Data in Psychological Research With Bayesian (Generalized) Mixed-Effects Models""",Recurring publication signal (3 matched works) in bayesian_models; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in bayesian models and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8358-9946,https://openalex.org/A5078451901,2026-04-10
278,C - keep on longlist,Rubén G. Mateo,Likely faculty/senior PI,Universidad Autónoma de Madrid,ES,Non-US,no,Possible (manual verification needed),Selective but variable,3,2024,species_distribution,27,80,3560,Journal of Vegetation Science; Ecography; The Science of The Total Environment,Hierarchical species distribution models in support of vegetation conservation at the landscape scale,"Optimising occurrence data in species distribution models: sample size, positional uncertainty, and sampling bias matter",Ecological niche models applied to post-megafire vegetation restoration in the context of climate change,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-8577-001X,https://openalex.org/A5027765898,2026-04-10
